,name,lat,temp,humidity,cloudiness,wind_speed
0,Alvik,60.75,32.09,100,90,1.12
1,Thompson,55.74,6.8,92,75,2.37
2,Busselton,-33.64,72.21,80,0,11.77
3,Atuona,-9.8,80.72,100,88,15.68
4,Rikitea,-23.12,78.11,99,88,13.22
5,Bredasdorp,-34.53,57.2,82,92,3.36
6,Mar del Plata,-46.43,74.46,35,92,12.1
7,East London,-33.02,62.6,82,90,8.05
8,Viedma,-40.81,75.09,36,68,12.21
9,Evensk,61.92,10.29,100,56,19.15
10,Tuktoyaktuk,69.44,3.2,84,90,14.99
11,Georgetown,6.8,73.4,94,0,4.7
12,Buala,-8.15,79.19,100,44,2.15
13,Leh,34.16,-8.93,69,76,0.36
14,Cherskiy,68.75,-22.16,98,68,3.71
15,Salalah,17.01,69.8,46,20,5.82
16,Bluff,-23.58,75.95,66,92,15.46
17,Albany,42.65,20.89,73,40,3.38
18,Avarua,-21.21,80.6,88,90,13.87
19,Bethel,60.79,20.05,92,90,3.36
20,Sibu,2.29,86.0,70,75,4.7
21,Namibe,-15.19,69.47,100,0,3.15
22,Hermanus,-34.42,48.14,100,12,2.82
23,Allende,28.34,43.68,83,32,10.54
24,Longyearbyen,78.22,26.6,58,40,13.87
25,Atasu,48.68,-5.64,67,24,5.39
26,Punta Arenas,-53.16,48.2,70,75,14.99
27,Hilo,19.71,78.08,64,20,10.29
28,Shimoda,34.7,44.87,43,75,13.87
29,Namatanai,-3.66,85.08,99,64,5.17
30,Fayaoue,-20.65,78.29,99,0,23.73
31,Mataura,-46.19,62.49,95,92,11.43
32,Wawa,9.9,65.82,51,0,6.62
33,Cockburn Town,21.46,80.27,100,20,19.93
34,Butaritari,3.07,85.67,100,12,4.61
35,Sabinov,49.1,30.15,96,90,4.7
36,Upernavik,72.79,8.94,100,64,10.09
37,Saurimo,-9.66,66.54,98,92,3.15
38,Hithadhoo,-0.6,82.38,100,48,4.38
39,Kruisfontein,-34.0,58.89,91,20,9.08
40,Lahat,-3.78,82.74,100,48,3.6
41,Ushuaia,-54.81,46.4,65,75,11.41
42,Lianzhou,24.79,35.9,98,92,2.82
43,Atar,20.52,54.89,41,0,7.29
44,Sao Joao da Barra,-21.64,73.83,100,56,13.22
45,Kamaishi,39.28,33.8,55,20,11.41
46,Ipira,-27.41,61.37,63,0,14.67
47,Port Hawkesbury,45.62,17.6,72,90,13.87
48,Nuuk,64.17,17.6,78,20,10.29
49,Castro,-42.48,53.6,100,90,9.17
50,Katobu,-4.94,89.09,78,32,5.39
51,Guerrero Negro,27.97,60.78,87,0,8.19
52,Port Alfred,-33.59,63.62,100,68,10.09
53,Marigot,18.23,80.13,100,0,11.65
54,Udachnyy,66.42,-24.95,36,8,2.37
55,Wanning,48.64,42.8,81,75,1.12
56,Shache,38.42,14.39,79,32,5.17
57,Berlevag,70.86,13.08,100,0,9.98
58,Vaini,15.34,73.44,83,20,3.15
59,Tuatapere,-46.13,61.77,85,80,10.42
60,Kapaa,22.08,76.21,53,90,20.8
61,Illintsi,49.11,35.54,99,88,6.17
62,San Jose,15.79,83.87,67,24,4.83
63,Alice Springs,-23.7,102.2,13,0,17.22
64,Meshchovsk,54.32,23.61,92,80,11.21
65,Ahipara,-35.17,69.47,66,0,15.79
66,Palmer,-34.85,77.0,57,0,19.46
67,Dunedin,-45.87,65.19,88,92,0.81
68,San Cristobal,-0.39,55.4,100,75,4.7
69,Vao,59.1,36.12,95,68,12.33
70,Fagernes,60.99,19.07,86,88,2.59
71,Itarema,-2.92,73.38,93,24,3.71
72,Mattru,7.62,71.04,91,0,2.59
73,Lavrentiya,65.58,18.48,100,36,30.11
74,Richards Bay,-28.77,68.34,100,100,6.17
75,Turiacu,-5.01,75.77,93,8,2.59
76,Cape Town,-33.93,60.8,72,0,12.75
77,Pevek,69.7,-9.2,84,8,8.3
78,Abdanan,32.99,40.94,96,12,2.37
79,Grand-Santi,4.27,71.67,99,56,2.71
80,Kouroussa,10.65,61.37,69,0,2.48
81,Ilovlya,49.31,23.0,92,75,4.47
82,Puerto Colombia,10.99,78.8,88,0,10.29
83,Nishihara,35.74,48.13,37,75,14.99
84,Jizan,16.89,80.6,69,20,3.38
85,Hami,42.84,-0.69,53,0,2.93
86,Middelburg,-25.77,56.91,96,0,5.39
87,Nanortalik,60.14,26.67,92,56,13.78
88,Samarai,-10.62,84.54,100,36,8.41
89,Vidim,50.47,45.48,75,90,24.16
90,Yulara,-25.24,104.0,12,0,6.93
91,Saint-Pierre,48.95,47.61,81,75,28.86
92,Tabas,33.6,30.32,69,8,3.04
93,Broome,52.47,46.81,81,76,20.8
94,Pisco,-13.71,68.0,82,0,9.17
95,Zambezi,-13.55,67.94,89,36,9.53
